"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월 10일","3.5103","2.2607","4.4019","2.1256","136.70M","55.27%"
"2022년 11월 09일","2.2607","5.4899","6.3496","2.0209","138.59M","-58.82%"
"2022년 11월 08일","5.4899","22.0903","22.0912","2.6777","150.14M","-75.15%"
"2022년 11월 07일","22.0903","22.2692","23.2888","21.7213","8.34M","-0.81%"
"2022년 11월 06일","22.2702","24.0716","25.0247","21.6022","5.79M","-7.47%"
"2022년 11월 05일","24.0682","25.4594","25.8305","23.8706","656.91K","-5.46%"
"2022년 11월 04일","25.4593","24.3600","25.8210","24.1303","557.59K","4.51%"
"2022년 11월 03일","24.3600","25.0200","25.3305","24.2396","517.42K","-2.64%"
"2022년 11월 02일","25.0200","25.8507","26.2574","24.9300","369.66K","-3.21%"
"2022년 11월 01일","25.8507","26.0923","26.4174","25.5913","236.36K","-0.93%"
"2022년 10월 31일","26.0923","25.6397","26.4821","25.3666","499.09K","1.73%"
"2022년 10월 30일","25.6486","25.4300","25.9996","25.2895","214.00K","0.86%"
"2022년 10월 29일","25.4300","24.7722","25.7884","24.7093","238.14K","2.66%"
"2022년 10월 28일","24.7706","24.2602","24.9992","23.9889","198.47K","2.10%"
"2022년 10월 27일","24.2602","24.6495","24.9601","24.1613","316.58K","-1.58%"
"2022년 10월 26일","24.6495","23.8516","24.9513","23.8108","330.10K","3.35%"
"2022년 10월 25일","23.8516","22.7900","24.4302","22.6704","352.80K","4.66%"
"2022년 10월 24일","22.7900","23.1495","23.2181","22.5710","123.64K","-1.55%"
"2022년 10월 23일","23.1495","22.5887","23.2280","22.4098","172.32K","2.48%"
"2022년 10월 22일","22.5887","22.4487","22.6511","22.3402","82.72K","0.62%"
"2022년 10월 21일","22.4487","22.4102","22.5698","21.9708","130.45K","0.17%"
"2022년 10월 20일","22.4102","22.5752","22.7887","22.2754","173.02K","-0.73%"
"2022년 10월 19일","22.5752","23.5907","23.6318","22.5203","719.02K","-4.30%"
"2022년 10월 18일","23.5907","24.1311","24.2086","23.3120","253.82K","-2.24%"
"2022년 10월 17일","24.1311","23.7203","24.2932","23.2770","461.49K","1.73%"
"2022년 10월 16일","23.7202","23.2601","23.9265","23.2601","95.95K","1.98%"
