"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 04월 25일","3,006.04","2,922.03","3,023.23","2,800.21","807.69K","2.88%"
"2022년 04월 24일","2,922.03","2,931.90","2,966.94","2,915.66","269.29K","-0.34%"
"2022년 04월 23일","2,931.90","2,963.00","2,977.45","2,917.84","227.07K","-1.05%"
"2022년 04월 22일","2,963.00","2,983.91","3,029.14","2,937.47","544.89K","-0.70%"
"2022년 04월 21일","2,983.95","3,076.06","3,176.69","2,950.97","675.44K","-3.00%"
"2022년 04월 20일","3,076.38","3,101.79","3,161.90","3,037.67","512.72K","-0.83%"
"2022년 04월 19일","3,102.01","3,055.86","3,128.86","3,030.32","427.14K","1.52%"
"2022년 04월 18일","3,055.64","2,989.05","3,069.07","2,887.25","681.76K","2.23%"
"2022년 04월 17일","2,989.05","3,058.96","3,081.14","2,983.17","311.54K","-2.29%"
"2022년 04월 16일","3,058.96","3,042.01","3,084.84","3,011.47","245.47K","0.56%"
"2022년 04월 15일","3,042.01","3,021.93","3,056.84","2,996.62","309.95K","0.66%"
"2022년 04월 14일","3,021.93","3,117.21","3,143.18","2,980.84","546.54K","-3.05%"
"2022년 04월 13일","3,116.92","3,027.64","3,128.20","2,999.66","563.89K","2.96%"
"2022년 04월 12일","3,027.25","2,978.45","3,082.02","2,951.80","790.54K","1.64%"
"2022년 04월 11일","2,978.29","3,201.99","3,213.52","2,953.66","876.67K","-6.98%"
"2022년 04월 10일","3,201.84","3,259.59","3,306.14","3,198.10","327.86K","-1.76%"
"2022년 04월 09일","3,259.35","3,193.54","3,268.18","3,182.10","283.24K","2.05%"
"2022년 04월 08일","3,193.93","3,228.83","3,311.42","3,174.14","654.82K","-1.08%"
"2022년 04월 07일","3,228.84","3,169.58","3,268.56","3,143.96","569.39K","1.87%"
"2022년 04월 06일","3,169.58","3,406.83","3,406.87","3,164.24","950.59K","-6.96%"
"2022년 04월 05일","3,406.78","3,520.35","3,554.54","3,400.74","500.27K","-3.23%"
"2022년 04월 04일","3,520.41","3,521.16","3,544.92","3,412.01","547.68K","-0.02%"
"2022년 04월 03일","3,521.10","3,442.34","3,579.82","3,414.40","473.54K","2.29%"
"2022년 04월 02일","3,442.34","3,456.18","3,529.63","3,436.79","629.29K","-0.40%"
"2022년 04월 01일","3,456.18","3,282.33","3,478.74","3,215.33","649.92K","5.30%"
"2022년 03월 31일","3,282.35","3,385.60","3,444.43","3,263.36","545.44K","-3.05%"
"2022년 03월 30일","3,385.64","3,401.86","3,445.98","3,333.50","425.38K","-0.48%"
"2022년 03월 29일","3,401.89","3,329.67","3,481.23","3,329.67","570.03K","2.18%"
"2022년 03월 28일","3,329.38","3,295.73","3,428.41","3,275.32","628.91K","0.98%"
"2022년 03월 27일","3,297.04","3,145.95","3,297.40","3,126.46","402.02K","4.80%"
"2022년 03월 26일","3,146.01","3,103.43","3,150.09","3,085.80","244.28K","1.37%"
"2022년 03월 25일","3,103.51","3,110.80","3,192.73","3,081.71","583.25K","-0.18%"
"2022년 03월 24일","3,109.25","3,036.18","3,126.37","3,005.99","699.58K","2.41%"
"2022년 03월 23일","3,036.12","2,969.64","3,042.28","2,925.78","536.63K","2.24%"
"2022년 03월 22일","2,969.64","2,891.41","3,048.32","2,887.69","716.47K","2.70%"
"2022년 03월 21일","2,891.63","2,861.66","2,960.42","2,830.38","546.61K","1.05%"
"2022년 03월 20일","2,861.69","2,950.03","2,962.19","2,819.27","436.11K","-2.99%"
"2022년 03월 19일","2,949.92","2,939.76","2,984.00","2,895.30","392.64K","0.35%"
"2022년 03월 18일","2,939.76","2,812.29","2,983.11","2,768.65","1.59B","4.53%"
"2022년 03월 17일","2,812.29","2,773.80","2,832.61","2,747.06","1.06B","1.38%"
"2022년 03월 16일","2,773.94","2,617.43","2,787.12","2,603.80","1.79B","5.98%"
"2022년 03월 15일","2,617.43","2,589.54","2,667.61","2,510.75","1.19B","1.09%"
"2022년 03월 14일","2,589.30","2,516.75","2,608.68","2,500.12","991.82M","2.88%"
"2022년 03월 13일","2,516.75","2,569.80","2,600.65","2,494.59","811.55M","-2.06%"
"2022년 03월 12일","2,569.80","2,556.96","2,612.33","2,555.85","567.25M","0.50%"
"2022년 03월 11일","2,556.96","2,606.50","2,670.05","2,525.20","1.28B","-1.90%"
"2022년 03월 10일","2,606.50","2,726.94","2,731.37","2,559.90","1.46B","-4.42%"
"2022년 03월 09일","2,726.94","2,577.21","2,772.09","2,569.13","1.52B","5.81%"
"2022년 03월 08일","2,577.21","2,492.53","2,623.99","2,483.29","1.44B","3.40%"
"2022년 03월 07일","2,492.53","2,549.40","2,645.41","2,447.74","1.58B","-2.23%"
"2022년 03월 06일","2,549.40","2,665.42","2,673.19","2,542.19","881.09M","-4.35%"
"2022년 03월 05일","2,665.42","2,622.15","2,684.50","2,592.07","709.87M","1.65%"
